node,gene
710,YCR025C
711,YCR026C
712,YCR027C
713,YCR028C
714,YCR028C-A
715,YCR030C
716,YCR031C
717,YCR032W
718,YCR033W
719,YCR034W
720,YCR035C
721,YCR036W
722,YCR037C
723,YCR038C
724,YCR038W-A
725,YCR039C
726,YCR040W
727,YCR041W
728,YCR042C
729,YCR043C
730,YCR044C
731,YCR045C
732,YCR045W-A
733,YCR046C
734,YCR047C
735,YCR047W-A
736,YCR048W
737,YCR049C
738,YCR050C
739,YCR051W
740,YCR052W
741,YCR053W
742,YCR054C
743,YCR057C
744,YCR059C
745,YCR060W
746,YCR061W
747,YCR063W
748,YCR064C
749,YCR065W
750,YCR066W
751,YCR067C
752,YCR068W
753,YCR069W
754,YCR071C
755,YCR072C
756,YCR073C
757,YCR073W-A
758,YCR075C
759,YCR075W-A
760,YCR076C
761,YCR077C
762,YCR079W
763,YCR081C-A
764,YCR081W
765,YCR082W
766,YCR083W
767,YCR084C
768,YCR085W
769,YCR086W
770,YCR087C-A
771,YCR087W
772,YCR088W
773,YCR089W
774,YCR090C
775,YCR091W
776,YCR092C
777,YCR093W
778,YCR094W
779,YCR095C
780,YCR095W-A
781,YCR096C
782,YCR097W
783,YCR097W-A
784,YCR098C
785,YCR099C
786,YCR100C
787,YCR101C
788,YCR102C
789,YCR102W-A
790,YCR104W
791,YCR105W
792,YCR106W
793,YCR107W
794,YCR108C
795,YDL001W
796,YDL002C
797,YDL003W
798,YDL004W
799,YDL005C
800,YDL006W
801,YDL007C-A
802,YDL007W
803,YDL008W
804,YDL009C
805,YDL010W
806,YDL011C
807,YDL012C
808,YDL013W
809,YDL014W
810,YDL015C
811,YDL016C
812,YDL017W
813,YDL018C
814,YDL019C
815,YDL020C
816,YDL021W
817,YDL022C-A
818,YDL022W
819,YDL023C
820,YDL024C
821,YDL025C
822,YDL025W-A
823,YDL026W
824,YDL027C
825,YDL028C
826,YDL029W
827,YDL030W
828,YDL031W
829,YDL032W
830,YDL033C
831,YDL034W
832,YDL035C
833,YDL036C
834,YDL037C
835,YDL039C
836,YDL040C
837,YDL041W
838,YDL042C
839,YDL043C
840,YDL044C
841,YDL045C
842,YDL045W-A
843,YDL046W
844,YDL047W
845,YDL048C
846,YDL049C
847,YDL050C
848,YDL051W
849,YDL052C
850,YDL053C
851,YDL054C
852,YDL055C
853,YDL056W
854,YDL057W
855,YDL058W
856,YDL059C
857,YDL060W
858,YDL061C
859,YDL062W
860,YDL063C
861,YDL064W
862,YDL065C
863,YDL066W
864,YDL067C
865,YDL068W
866,YDL069C
867,YDL070W
868,YDL071C
869,YDL072C
870,YDL073W
871,YDL074C
872,YDL075W
873,YDL076C
874,YDL077C
875,YDL078C
876,YDL079C
877,YDL080C
878,YDL081C
879,YDL082W
880,YDL083C
881,YDL084W
882,YDL085C-A
883,YDL085W
884,YDL086C-A
885,YDL086W
886,YDL087C
887,YDL088C
888,YDL089W
889,YDL090C
890,YDL091C
891,YDL092W
892,YDL093W
893,YDL094C
894,YDL095W
895,YDL096C
896,YDL097C
897,YDL098C
898,YDL099W
899,YDL100C
900,YDL101C
901,YDL102W
902,YDL103C
903,YDL104C
904,YDL105W
905,YDL106C
906,YDL107W
907,YDL108W
908,YDL109C
909,YDL110C
910,YDL111C
911,YDL112W
912,YDL113C
913,YDL114W
914,YDL114W-A
915,YDL115C
916,YDL116W
917,YDL117W
918,YDL118W
919,YDL119C
920,YDL120W
921,YDL121C
922,YDL122W
923,YDL123W
924,YDL124W
925,YDL125C
926,YDL126C
927,YDL127W
928,YDL128W
929,YDL129W
930,YDL130W
931,YDL130W-A
932,YDL131W
933,YDL132W
934,YDL133C-A
935,YDL133W
936,YDL134C
937,YDL135C
938,YDL136W
939,YDL137W
940,YDL138W
941,YDL139C
942,YDL140C
943,YDL141W
944,YDL142C
945,YDL143W
946,YDL144C
947,YDL145C
948,YDL146W
949,YDL147W
950,YDL148C
951,YDL149W
952,YDL150W
953,YDL151C
954,YDL152W
955,YDL153C
956,YDL154W
957,YDL155W
958,YDL156W
959,YDL157C
960,YDL158C
961,YDL159C-B
962,YDL159W
963,YDL159W-A
964,YDL160C
965,YDL160C-A
966,YDL161W
967,YDL162C
968,YDL163W
969,YDL164C
970,YDL165W
971,YDL166C
972,YDL167C
973,YDL168W
974,YDL169C
975,YDL170W
976,YDL171C
977,YDL172C
978,YDL173W
979,YDL174C
980,YDL175C
981,YDL176W
982,YDL177C
983,YDL178W
984,YDL179W
985,YDL180W
986,YDL181W
987,YDL182W
988,YDL183C
989,YDL184C
990,YDL185C-A
991,YDL185W
992,YDL186W
993,YDL187C
994,YDL188C
995,YDL189W
996,YDL190C
997,YDL191W
998,YDL192W
999,YDL193W
1000,YDL194W
1001,YDL195W
1002,YDL196W
1003,YDL197C
1004,YDL198C
1005,YDL199C
1006,YDL200C
1007,YDL201W
1008,YDL202W
1009,YDL203C
1010,YDL204W
1011,YDL205C
1012,YDL206W
1013,YDL207W
1014,YDL208W
1015,YDL209C
1016,YDL210W
1017,YDL211C
1018,YDL212W
1019,YDL213C
1020,YDL214C
1021,YDL215C
1022,YDL216C
1023,YDL217C
1024,YDL218W
1025,YDL219W
1026,YDL220C
1027,YDL221W
1028,YDL222C
1029,YDL223C
1030,YDL224C
1031,YDL225W
1032,YDL226C
1033,YDL227C
1034,YDL228C
1035,YDL229W
1036,YDL230W
1037,YDL231C
1038,YDL232W
1039,YDL233W
1040,YDL234C
1041,YDL235C
1042,YDL236W
1043,YDL237W
1044,YDL238C
1045,YDL239C
1046,YDL240C-A
1047,YDL240W
1048,YDL241W
1049,YDL242W
1050,YDL243C
1051,YDL244W
1052,YDL245C
1053,YDL246C
1054,YDL247W
1055,YDL247W-A
1056,YDL248W
1057,YDR001C
1058,YDR002W
1059,YDR003W
1060,YDR003W-A
1061,YDR004W
1062,YDR005C
1063,YDR006C
1064,YDR007W
1065,YDR008C
1066,YDR009W
1067,YDR010C
1068,YDR011W
1069,YDR012W
1070,YDR013W
1071,YDR014W
1072,YDR014W-A
1073,YDR015C
1074,YDR016C
1075,YDR017C
1076,YDR018C
1077,YDR019C
1078,YDR020C
1079,YDR021W
1080,YDR022C
1081,YDR023W
1082,YDR024W
1083,YDR025W
1084,YDR026C
1085,YDR027C
1086,YDR028C
1087,YDR029W
1088,YDR030C
1089,YDR031W
1090,YDR032C
1091,YDR033W
